<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MRKY;60;16/09/24;14:00:00;0.06085;0.0609;0.0605;0.0608;2890000
MRKY;60;16/09/24;15:00:00;0.06075;0.0608;0.06055;0.06065;6070000
MRKY;60;16/09/24;16:00:00;0.0606;0.06075;0.0604;0.06075;2630000
MRKY;60;16/09/24;17:00:00;0.06075;0.0611;0.06075;0.0608;11190000
MRKY;60;16/09/24;18:00:00;0.061;0.06105;0.06065;0.0607;3220000
MRKY;60;16/09/24;19:00:00;0.06095;0.06105;0.0607;0.06105;1790000
MRKY;60;17/09/24;11:00:00;0.0609;0.0615;0.06055;0.06095;26650000
MRKY;60;17/09/24;12:00:00;0.06095;0.061;0.0602;0.061;6640000
MRKY;60;17/09/24;13:00:00;0.0608;0.061;0.06055;0.0607;4960000
MRKY;60;17/09/24;14:00:00;0.0608;0.0608;0.06055;0.0606;3470000
MRKY;60;17/09/24;15:00:00;0.06075;0.0608;0.0604;0.0608;4300000
MRKY;60;17/09/24;16:00:00;0.06055;0.0607;0.06035;0.0607;2190000
MRKY;60;17/09/24;17:00:00;0.0606;0.06075;0.0605;0.06065;1790000
MRKY;60;17/09/24;18:00:00;0.06065;0.06095;0.0606;0.06095;6580000
MRKY;60;17/09/24;19:00:00;0.061;0.06135;0.061;0.06115;3110000
MRKY;60;18/09/24;11:00:00;0.061;0.06495;0.0609;0.06425;178710000
MRKY;60;18/09/24;12:00:00;0.06405;0.06635;0.06315;0.06505;160900000
MRKY;60;18/09/24;13:00:00;0.06505;0.06515;0.06335;0.0636;32890000
MRKY;60;18/09/24;14:00:00;0.0636;0.06425;0.06325;0.0635;14230000
MRKY;60;18/09/24;15:00:00;0.0635;0.06375;0.063;0.06335;7450000
MRKY;60;18/09/24;16:00:00;0.06315;0.06385;0.063;0.0634;7510000
MRKY;60;18/09/24;17:00:00;0.06355;0.06365;0.06315;0.06325;7740000
MRKY;60;18/09/24;18:00:00;0.0632;0.06375;0.06295;0.063;7480000
MRKY;60;18/09/24;19:00:00;0.06295;0.06325;0.0626;0.0629;13700000
MRKY;60;19/09/24;11:00:00;0.0629;0.0652;0.06285;0.06315;72030000
MRKY;60;19/09/24;12:00:00;0.06305;0.06345;0.06275;0.0633;11390000
